# timestamp_ms,seq,id,ext,len,d0,d1,d2,d3,d4,d5,d6,d7
1278998,130465,0x18EEFF00,1,8,08,CF,60,06,00,00,00,00
1279298,130466,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
1279299,130467,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
1279318,130468,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
1279319,130469,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
1279338,130470,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
1279339,130471,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
1279358,130472,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
1279359,130473,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
1279369,130474,0x18FEF100,1,8,3F,00,00,FF,FF,FF,FF,FF
1279370,130475,0x18F00500,1,8,FF,FF,FF,FF,20,2D,FF,FF
1279370,130476,0x18FEF200,1,8,00,00,00,FB,00,00,00,FF
1279378,130477,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
1279379,130478,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
1279398,130479,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
1279399,130480,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
1279418,130481,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
1279419,130482,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
1279438,130483,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
1279439,130484,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
1279458,130485,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
1279459,130486,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
1279469,130487,0x18FEF100,1,8,3F,00,00,FF,FF,FF,FF,FF
1279470,130488,0x10FF6500,1,8,FC,FF,FF,FF,FF,FF,FF,FF
1279470,130489,0x18F00500,1,8,FF,FF,FF,FF,20,2D,FF,FF
1279471,130490,0x18FEF200,1,8,00,00,00,FB,00,00,00,FF
1279478,130491,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
1279479,130492,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
1279498,130493,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
1279499,130494,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
1279518,130495,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
1279519,130496,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
1279538,130497,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
1279539,130498,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
1279558,130499,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
1279559,130500,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
1279569,130501,0x18FEF100,1,8,3F,00,00,FF,FF,FF,FF,FF
1279570,130502,0x18F00500,1,8,FF,FF,FF,FF,20,2D,FF,FF
1279570,130503,0x18FEF200,1,8,00,00,00,FB,00,00,00,FF
1279578,130504,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
1279579,130505,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
1279598,130506,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
1279599,130507,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
1279618,130508,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
1279619,130509,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
1279638,130510,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
1279639,130511,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
1279658,130512,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
1279659,130513,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
1279669,130514,0x18FEF100,1,8,3F,00,00,FF,FF,FF,FF,FF
1279670,130515,0x10FF6500,1,8,FC,FF,FF,FF,FF,FF,FF,FF
1279670,130516,0x18F00500,1,8,FF,FF,FF,FF,20,2D,FF,FF
1279671,130517,0x18FEF200,1,8,00,00,00,FB,00,00,00,FF
1279678,130518,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
1279679,130519,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
1279698,130520,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
1279699,130521,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
1279718,130522,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
1279719,130523,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
1279738,130524,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
1279739,130525,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
1279758,130526,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
1279759,130527,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
1279769,130528,0x18FEF100,1,8,3F,00,00,FF,FF,FF,FF,FF
1279770,130529,0x18F00500,1,8,FF,FF,FF,FF,20,2D,FF,FF
1279770,130530,0x18F00600,1,8,FF,FF,FF,FF,FF,FF,FF,FF
1279771,130531,0x18FEF200,1,8,00,00,00,FB,00,00,00,FF
1279771,130532,0x1CFDDF00,1,8,FE,FF,FF,FF,FF,FF,FF,FF
1279772,130533,0x1CFF6A00,1,8,FC,FF,FF,FF,FF,FF,FF,FF
1279778,130534,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
1279779,130535,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
1279798,130536,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
1279799,130537,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
1279818,130538,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
1279819,130539,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
1279838,130540,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
1279839,130541,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
