# timestamp_ms,seq,id,ext,len,d0,d1,d2,d3,d4,d5,d6,d7
# CAN raw dump: ON
$T,97124,0.00,27.00,nan,12.00,0.68,21.51,994.38,158.32,nan,50.00
$T,97224,0.00,27.00,nan,12.00,0.68,21.51,994.38,158.33,nan,50.00
$T,97324,0.00,27.00,nan,12.00,0.68,21.51,994.38,158.32,nan,50.00
$T,97424,0.00,27.00,nan,12.00,0.68,21.51,994.37,158.36,nan,50.00
$T,97524,0.00,27.00,nan,12.00,0.68,21.51,994.36,158.46,nan,50.00
$T,97624,0.00,27.00,nan,12.00,0.68,21.51,994.36,158.47,nan,50.00
$T,97724,0.00,27.00,nan,12.00,0.68,21.51,994.36,158.48,nan,50.00
$T,97824,0.00,27.00,nan,12.00,0.68,21.51,994.37,158.41,nan,50.00
$T,97924,0.00,27.00,nan,12.00,0.68,21.51,994.36,158.47,nan,50.00
$T,98024,0.00,27.00,nan,12.00,0.68,21.50,994.35,158.57,nan,50.00
$T,98124,0.00,27.00,nan,12.00,0.68,21.50,994.35,158.55,nan,50.00
$T,98224,0.00,27.00,nan,12.00,0.68,21.51,994.35,158.53,nan,50.00
$T,98324,0.00,27.00,nan,12.00,0.68,21.51,994.35,158.55,nan,50.00
$T,98424,0.00,27.00,nan,12.00,0.68,21.51,994.35,158.54,nan,50.00
$T,98524,0.00,27.00,nan,12.00,0.68,21.51,994.36,158.44,nan,50.00
$T,98624,0.00,27.00,nan,12.00,0.68,21.51,994.36,158.47,nan,50.00
$T,98724,0.00,27.00,nan,12.00,0.68,21.51,994.36,158.47,nan,50.00
$T,98824,0.00,27.00,nan,12.00,0.68,21.51,994.36,158.51,nan,50.00
$T,98924,0.00,27.00,nan,12.00,0.68,21.51,994.36,158.50,nan,50.00
$T,99024,0.00,27.00,nan,12.00,0.68,21.51,994.37,158.43,nan,50.00
$T,99124,0.00,27.00,nan,12.00,0.68,21.51,994.36,158.46,nan,50.00
$T,99224,0.00,27.00,nan,12.00,0.68,21.51,994.36,158.49,nan,50.00
$T,99324,0.00,27.00,nan,12.00,0.68,21.51,994.35,158.53,nan,50.00
$T,99424,0.00,27.00,nan,12.00,0.68,21.50,994.35,158.55,nan,50.00
$T,99524,0.00,27.00,nan,12.00,0.68,21.50,994.35,158.56,nan,50.00
$T,99624,0.00,27.00,nan,12.00,0.68,21.51,994.36,158.45,nan,50.00
$T,99724,0.00,27.00,nan,12.00,0.68,21.51,994.36,158.44,nan,50.00
$T,99824,0.00,27.00,nan,12.00,0.68,21.51,994.37,158.42,nan,50.00
$T,99924,0.00,27.00,nan,12.00,0.68,21.51,994.37,158.40,nan,50.00
$T,100024,0.00,27.00,nan,12.00,0.68,21.51,994.36,158.45,nan,50.00
$T,100124,0.00,27.00,nan,12.00,0.68,21.51,994.36,158.45,nan,50.00
$T,100224,0.00,27.00,nan,12.00,0.68,21.51,994.36,158.43,nan,50.00
$T,100324,0.00,27.00,nan,12.00,0.68,21.51,994.37,158.35,nan,50.00
$T,100424,0.00,27.00,nan,12.00,0.68,21.51,994.37,158.36,nan,50.00
$T,100524,0.00,27.00,nan,12.00,0.68,21.51,994.37,158.35,nan,50.00
$C,100584,2159,0x18EEFF00,1,8,08,CF,60,06,00,00,00,00
$T,100624,0.00,27.00,nan,12.00,0.68,21.51,994.38,158.31,nan,50.00
$T,100724,0.00,27.00,nan,12.00,0.68,21.51,994.39,158.24,nan,50.00
$T,100824,0.00,27.00,nan,12.00,0.68,21.51,994.39,158.21,nan,50.00
$C,100885,2160,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
$C,100885,2161,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
$C,100905,2162,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
$C,100905,2163,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
$T,100924,0.00,27.00,nan,12.00,0.68,21.51,994.38,158.32,nan,50.00
$C,100925,2164,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
$C,100925,2165,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
$C,100945,2166,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
$C,100945,2167,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
$C,100955,2168,0x18FEF100,1,8,3F,00,00,FF,FF,FF,FF,FF
$C,100956,2169,0x18F00500,1,8,FF,FF,FF,FF,20,2D,FF,FF
$C,100957,2170,0x18FEF200,1,8,00,00,00,FB,00,00,00,FF
$C,100965,2171,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
$C,100965,2172,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
$C,100985,2173,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
$C,100985,2174,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
$C,101005,2175,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
$C,101005,2176,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
$T,101024,0.00,27.00,nan,12.00,0.68,21.51,994.38,158.31,nan,50.00
$C,101025,2177,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
$C,101025,2178,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
$C,101045,2179,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
$C,101045,2180,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
$C,101055,2181,0x18FEF100,1,8,3F,00,00,FF,FF,FF,FF,FF
$C,101056,2182,0x10FF6500,1,8,FC,FF,FF,FF,FF,FF,FF,FF
$C,101057,2183,0x18F00500,1,8,FF,FF,FF,FF,20,2D,FF,FF
$C,101057,2184,0x18FEF200,1,8,00,00,00,FB,00,00,00,FF
$C,101065,2185,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
$C,101065,2186,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
$C,101085,2187,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
$C,101085,2188,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
$C,101105,2189,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
$C,101105,2190,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
$T,101124,0.00,27.00,nan,12.00,0.68,21.51,994.38,158.30,nan,50.00
$C,101125,2191,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
