# timestamp_ms,seq,id,ext,len,d0,d1,d2,d3,d4,d5,d6,d7
25266,639,0x18EEFF00,1,8,08,CF,60,06,00,00,00,00
25566,640,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
25567,641,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
25586,642,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
25587,643,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
25606,644,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
25607,645,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
25626,646,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
25627,647,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
25637,648,0x18FEF100,1,8,3F,00,00,FF,FF,FF,FF,FF
25638,649,0x18F00500,1,8,FF,FF,FF,FF,20,2D,FF,FF
25638,650,0x18FEF200,1,8,00,00,00,FB,00,00,00,FF
25646,651,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
25647,652,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
25666,653,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
25667,654,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
25686,655,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
25687,656,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
25706,657,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
25707,658,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
25726,659,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
25727,660,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
25737,661,0x18FEF100,1,8,3F,00,00,FF,FF,FF,FF,FF
25738,662,0x10FF6500,1,8,FC,FF,FF,FF,FF,FF,FF,FF
25738,663,0x18F00500,1,8,FF,FF,FF,FF,20,2D,FF,FF
25739,664,0x18FEF200,1,8,00,00,00,FB,00,00,00,FF
25746,665,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
25747,666,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
25766,667,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
25767,668,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
25786,669,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
25787,670,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
25806,671,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
25807,672,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
25826,673,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
25827,674,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
25837,675,0x18FEF100,1,8,3F,00,00,FF,FF,FF,FF,FF
25838,676,0x18F00500,1,8,FF,FF,FF,FF,20,2D,FF,FF
25838,677,0x18FEF200,1,8,00,00,00,FB,00,00,00,FF
25846,678,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
25847,679,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
25866,680,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
25867,681,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
25886,682,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
25887,683,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
25906,684,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
25907,685,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
25926,686,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
25927,687,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
25937,688,0x18FEF100,1,8,3F,00,00,FF,FF,FF,FF,FF
25938,689,0x10FF6500,1,8,FC,FF,FF,FF,FF,FF,FF,FF
25938,690,0x18F00500,1,8,FF,FF,FF,FF,20,2D,FF,FF
25939,691,0x18FEF200,1,8,00,00,00,FB,00,00,00,FF
25946,692,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
25947,693,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
25966,694,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
25967,695,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
25986,696,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
25987,697,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
26006,698,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
26007,699,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
26026,700,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
26027,701,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
26037,702,0x18FEF100,1,8,3F,00,00,FF,FF,FF,FF,FF
