# timestamp_ms,seq,id,ext,len,d0,d1,d2,d3,d4,d5,d6,d7
19435,1,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
19445,2,0x18FEF100,1,8,3F,00,00,FF,FF,FF,FF,FF
19446,3,0x18F00500,1,8,FF,FF,FF,FF,20,2D,FF,FF
19446,4,0x18FEF200,1,8,00,00,00,FB,00,00,00,FF
19454,5,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
19455,6,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
19474,7,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
19475,8,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
19494,9,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
19495,10,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
19514,11,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
19515,12,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
19534,13,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
19535,14,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
19545,15,0x18FEF100,1,8,3F,00,00,FF,FF,FF,FF,FF
19546,16,0x10FF6500,1,8,FC,FF,FF,FF,FF,FF,FF,FF
19546,17,0x18F00500,1,8,FF,FF,FF,FF,20,2D,FF,FF
19547,18,0x18FEF200,1,8,00,00,00,FB,00,00,00,FF
19554,19,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
19555,20,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
19574,21,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
19575,22,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
19594,23,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
19595,24,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
19614,25,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
19615,26,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
19634,27,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
19635,28,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
19645,29,0x18FEF100,1,8,3F,00,00,FF,FF,FF,FF,FF
19646,30,0x18F00500,1,8,FF,FF,FF,FF,20,2D,FF,FF
19646,31,0x18FEF200,1,8,00,00,00,FB,00,00,00,FF
19654,32,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
19655,33,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
19674,34,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
19675,35,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
19694,36,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
19695,37,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
19714,38,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
19715,39,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
19734,40,0xCF00400,1,8,FF,FF,FF,00,00,FF,FF,FF
19735,41,0xCFF6600,1,8,00,00,FF,FF,FF,FF,FF,FF
19745,42,0x18FEF100,1,8,3F,00,00,FF,FF,FF,FF,FF
19746,43,0x10FF6500,1,8,FC,FF,FF,FF,FF,FF,FF,FF
19746,44,0x18F00500,1,8,FF,FF,FF,FF,20,2D,FF,FF
