# timestamp_ms,seq,id,ext,len,d0,d1,d2,d3,d4,d5,d6,d7
$T,1089671,1740.00,36.00,nan,12.00,0.68,20.81,994.38,158.29,nan,50.00
$T,1089771,1740.00,36.00,nan,12.00,0.68,20.81,994.38,158.33,nan,50.00
$T,1089871,1740.00,36.00,nan,12.00,0.68,20.80,994.37,158.36,nan,50.00
$T,1089971,1740.00,36.00,nan,12.00,0.68,20.81,994.38,158.33,nan,50.00
$T,1090071,1740.00,36.00,nan,12.00,0.68,20.81,994.37,158.40,nan,50.00
$T,1090171,1740.00,36.00,nan,12.00,0.68,20.81,994.38,158.34,nan,50.00
$T,1090271,1740.00,36.00,nan,12.00,0.68,20.80,994.37,158.39,nan,50.00
$T,1090371,1740.00,36.00,nan,12.00,0.68,20.80,994.37,158.37,nan,50.00
$T,1090471,1740.00,36.00,nan,12.00,0.68,20.80,994.39,158.24,nan,50.00
$T,1090571,1740.00,36.00,nan,12.00,0.68,20.80,994.38,158.29,nan,50.00
$T,1090671,1740.00,36.00,nan,12.00,0.68,20.80,994.39,158.26,nan,50.00
$T,1090771,1740.00,36.00,nan,12.00,0.68,20.80,994.38,158.34,nan,50.00
$T,1090871,1740.00,36.00,nan,12.00,0.68,20.80,994.37,158.36,nan,50.00
$T,1090971,1740.00,36.00,nan,12.00,0.68,20.81,994.39,158.26,nan,50.00
$T,1091071,1740.00,36.00,nan,12.00,0.68,20.80,994.37,158.35,nan,50.00
$T,1091171,0.00,36.00,nan,12.00,0.68,20.80,994.37,158.41,nan,50.00
$T,1091271,0.00,36.00,nan,12.00,0.68,20.80,994.36,158.45,nan,50.00
$T,1091371,0.00,36.00,nan,12.00,0.68,20.80,994.37,158.40,nan,50.00
$T,1091471,0.00,36.00,nan,12.00,0.68,20.80,994.36,158.49,nan,50.00
$T,1091571,0.00,36.00,nan,12.00,0.68,20.80,994.36,158.43,nan,50.00
$T,1091671,0.00,36.00,nan,12.00,0.68,20.80,994.36,158.44,nan,50.00
$T,1091771,0.00,18.00,nan,12.00,0.68,20.81,994.37,158.38,nan,50.00
$T,1091871,0.00,18.00,nan,12.00,0.68,20.81,994.38,158.34,nan,50.00
$T,1091971,0.00,18.00,nan,12.00,0.68,20.81,994.38,158.34,nan,50.00
$T,1092071,0.00,18.00,nan,12.00,0.68,20.80,994.37,158.40,nan,50.00
$T,1092171,0.00,18.00,nan,12.00,0.68,20.80,994.39,158.25,nan,50.00
$T,1092271,0.00,18.00,nan,12.00,0.68,20.80,994.38,158.29,nan,50.00
$T,1092371,0.00,18.00,nan,12.00,0.68,20.80,994.38,158.32,nan,50.00
$T,1092471,0.00,18.00,nan,12.00,0.68,20.80,994.38,158.33,nan,50.00
$T,1092571,0.00,18.00,nan,12.00,0.68,20.80,994.38,158.31,nan,50.00
$T,1092671,0.00,18.00,nan,12.00,0.68,20.80,994.38,158.29,nan,50.00
$T,1092771,0.00,20.00,nan,12.00,0.68,20.80,994.39,158.24,nan,50.00
$T,1092871,0.00,20.00,nan,12.00,0.68,20.80,994.38,158.28,nan,50.00
$T,1092971,0.00,20.00,nan,12.00,0.68,20.80,994.37,158.38,nan,50.00
$T,1093071,0.00,20.00,nan,12.00,0.68,20.79,994.37,158.39,nan,50.00
$T,1093171,0.00,20.00,nan,12.00,0.68,20.80,994.38,158.33,nan,50.00
$T,1093271,0.00,20.00,nan,12.00,0.68,20.79,994.37,158.36,nan,50.00
$T,1093371,0.00,20.00,nan,12.00,0.68,20.79,994.36,158.43,nan,50.00
$T,1093471,0.00,20.00,nan,12.00,0.68,20.79,994.36,158.48,nan,50.00
$T,1093571,0.00,20.00,nan,12.00,0.68,20.79,994.36,158.44,nan,50.00
$T,1093671,0.00,20.00,nan,12.00,0.68,20.79,994.37,158.36,nan,50.00
$T,1093771,0.00,21.00,nan,12.00,0.68,20.79,994.37,158.35,nan,50.00
$T,1093871,0.00,21.00,nan,12.00,0.68,20.79,994.37,158.38,nan,50.00
$T,1093971,0.00,21.00,nan,12.00,0.68,20.79,994.37,158.40,nan,50.00
$T,1094071,0.00,21.00,nan,12.00,0.68,20.79,994.38,158.33,nan,50.00
$T,1094171,0.00,21.00,nan,12.00,0.68,20.79,994.37,158.36,nan,50.00
$T,1094271,0.00,21.00,nan,12.00,0.68,20.79,994.37,158.36,nan,50.00
$T,1094371,0.00,21.00,nan,12.00,0.68,20.79,994.37,158.36,nan,50.00
$T,1094471,0.00,21.00,nan,12.00,0.68,20.79,994.37,158.36,nan,50.00
$T,1094571,0.00,21.00,nan,12.00,0.68,20.79,994.37,158.35,nan,50.00
$T,1094671,0.00,21.00,nan,12.00,0.68,20.79,994.37,158.41,nan,50.00
$T,1094771,0.00,21.00,nan,12.00,0.68,20.79,994.37,158.40,nan,50.00
$T,1094871,0.00,21.00,nan,12.00,0.68,20.79,994.37,158.35,nan,50.00
$T,1094971,0.00,21.00,nan,12.00,0.68,20.78,994.36,158.44,nan,50.00
$T,1095071,0.00,21.00,nan,12.00,0.68,20.78,994.36,158.46,nan,50.00
$T,1095171,0.00,21.00,nan,12.00,0.68,20.79,994.37,158.38,nan,50.00
$T,1095271,0.00,21.00,nan,12.00,0.68,20.79,994.37,158.35,nan,50.00
$T,1095371,0.00,21.00,nan,12.00,0.68,20.79,994.37,158.41,nan,50.00
$T,1095471,0.00,21.00,nan,12.00,0.68,20.79,994.37,158.38,nan,50.00
$T,1095571,0.00,21.00,nan,12.00,0.68,20.79,994.38,158.33,nan,50.00
$T,1095671,0.00,21.00,nan,12.00,0.68,20.79,994.36,158.43,nan,50.00
$T,1095771,0.00,22.00,nan,12.00,0.68,20.79,994.37,158.37,nan,50.00
$T,1095871,0.00,22.00,nan,12.00,0.68,20.79,994.36,158.45,nan,50.00
